CHANGE_BY,ZFLAG,QUOT_DEAD,ZZ_CGZH,STATUS,APPROVE,ZZ_FYLX,ZZ_EC,ZZ_URL,ISMAIN,LOCKPRICE,REMARK,PRINTID,BIDCOLLECT,ARCHIVES,ARCHIVESTIME
507,6,2781,115,3596,3415,2690,4197,2118,4197,3412,1,3,1960,2677,3479
297,6,2781,60,3596,3415,2690,1,919,4197,3412,1,9,1960,260,3479
507,6,2781,36,3596,3415,2690,1,2118,4197,3412,2,9,1960,2677,3479
507,6,2781,115,3596,179,2690,1,919,4197,791,1,3,1960,2677,3479
507,6,2781,115,475,469,2690,1,919,4197,791,1,9,1960,260,3479
507,6,2781,115,475,469,2690,1,2118,4197,791,1,5,1960,2677,70
507,6,2781,115,3596,179,2690,1,2118,4197,791,1,5,1960,260,3479
507,6,2781,115,3596,3415,2690,2,2118,4197,3412,2,4180,1960,2677,70
279,6,2781,22,3596,3415,2690,1,1166,4197,3412,1,4180,1960,2677,3479
605,6,2781,231,3596,3415,1512,4197,919,4197,3412,2,3,1960,260,39
605,6,2781,231,3596,3415,1512,2,1166,4197,3412,1,9,1960,260,39
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,9,1960,2677,107
507,6,2781,212,3596,3415,2690,4197,1166,4197,3412,1,9,1960,2677,3479
396,6,2781,186,3596,3415,2690,4197,919,4197,3412,1,3,1960,260,3479
396,6,2781,186,3596,3415,2690,4197,1166,4197,3412,1,5,1960,2677,3479
605,6,2781,25,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
348,6,2781,186,132,132,1512,1,919,4197,791,2,2,1960,2677,3479
348,6,2781,186,3596,3415,1512,1,919,4197,3412,1,4180,1960,2677,3479
279,6,2781,108,3596,3415,1512,1,919,4197,3412,2,9,1960,260,3479
605,6,2781,231,3596,3415,2690,1,1166,4197,3412,2,5,1960,2677,107
347,6,24,15,3596,3415,2690,2,919,4197,3412,1,5,1960,2677,3479
507,6,2781,115,475,469,2690,2,919,4197,791,1,9,1960,2677,3479
507,6,2781,115,132,132,2690,1,2118,4197,791,1,9,1960,2677,70
605,6,2781,231,3596,3415,1512,1,919,4197,3412,1,2,1960,260,39
347,6,372,9,3596,3415,2690,1,1166,4197,3412,2,9,1960,2677,3479
347,6,372,9,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,3479
347,6,372,9,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
347,6,372,9,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
347,6,372,9,3596,3415,2690,1,1166,4197,3412,2,9,1960,2677,3479
347,6,372,9,3596,3415,2690,2,919,4197,3412,2,9,1960,260,3479
347,6,372,9,3596,3415,2690,2,919,4197,3412,1,4180,1960,2677,3479
347,6,372,9,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
347,6,372,9,3596,3415,2690,1,1166,4197,3412,2,5,1960,2677,3479
347,6,372,93,3596,3415,2690,1,1166,4197,3412,2,9,1960,260,107
507,6,2781,212,475,469,2690,1,2118,4197,791,1,5,1960,2677,107
507,6,2781,212,132,132,2690,2,2118,4197,791,1,9,1960,2677,70
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,5,1960,2677,70
507,6,2781,27,3596,3415,2690,1,919,4197,3412,2,4180,1960,2677,12
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,5,1960,260,107
507,6,2781,27,132,132,2690,2,2118,4197,791,1,4180,1960,2677,3479
237,6,2781,13,3596,3415,1512,2,1166,4197,3412,1,5,1960,2677,3479
237,6,2781,13,3596,3415,1512,4197,1166,4197,3412,1,3,1960,2677,3479
297,6,2781,88,3596,3415,2690,1,919,4197,3412,1,5,1960,2677,3479
348,6,2781,320,3596,3415,1512,1,919,4197,3412,2,9,1960,2677,3479
279,6,2781,22,3596,3415,1512,1,919,4197,3412,1,3,1960,2677,3479
348,6,2781,353,3596,3415,1512,1,919,4197,3412,2,9,1960,2677,3479
347,6,372,15,3596,3415,2690,2,919,4197,3412,2,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,2,9,1960,2677,3479
605,6,2781,202,3596,3415,1512,2,2118,4197,3412,2,9,1960,260,39
279,6,2781,137,3596,3415,2690,4197,2118,4197,3412,1,5,1960,2677,3479
507,6,2781,36,3596,3415,2690,2,919,4197,3412,1,4180,1960,2677,107
507,6,2781,19,3596,3415,2690,4197,919,4197,3412,1,9,1960,2677,3479
347,6,372,15,3596,3415,2690,4197,1166,4197,3412,1,5,1960,2677,3479
347,6,372,13,3596,3415,2690,1,1166,4197,3412,1,5,1960,2677,3479
396,6,2781,353,3596,3415,2690,4197,1166,4197,3412,1,9,1960,2677,3479
279,6,2781,108,3596,3415,1512,1,919,4197,3412,2,2,1960,2677,57
507,6,2781,115,475,469,2690,4197,919,4197,791,1,2,1960,2677,3479
507,6,2781,115,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
348,6,2781,320,3596,3415,1512,1,919,4197,3412,1,2,1960,260,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,4180,1960,2677,107
279,6,2781,22,3596,3415,1512,1,919,4197,3412,2,5,1960,2677,3479
507,6,2781,96,3596,3415,2690,2,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,212,475,469,2690,2,919,4197,791,2,5,1960,2677,70
507,6,2781,212,475,469,2690,1,919,4197,791,1,5,1960,2677,12
507,6,2781,212,475,469,2690,1,919,4197,791,1,9,1960,2677,3479
507,6,2781,212,475,469,2690,4197,2118,4197,791,2,5,1960,2677,70
507,6,2781,212,475,469,2690,1,2118,4197,791,1,4180,1960,2677,107
507,6,2781,212,132,132,2690,2,2118,4197,791,1,5,1960,2677,3479
250,6,15,56,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,107
250,6,15,132,3596,3415,2690,2,919,4197,3412,2,9,1960,2677,3479
250,6,15,132,475,469,2690,4197,2118,4197,791,2,9,1960,2677,57
250,6,15,132,3596,3415,2690,1,919,4197,3412,1,2,1960,2677,107
250,6,15,132,3596,3415,2690,1,2118,4197,3412,1,2,1960,2677,3479
443,6,1,49,3596,3415,1512,1,2118,4197,3412,1,5,1960,2677,3479
443,6,372,79,3596,3415,2690,1,919,4197,3412,1,3,1960,2677,3479
443,6,372,79,3596,3415,2690,4197,919,4197,3412,1,2,1960,2677,107
443,6,372,79,3596,3415,2690,4197,1166,4197,3412,1,4180,1960,2677,70
443,6,372,5,3596,3415,2690,4197,1166,4197,3412,1,4180,1960,2677,3479
507,6,2781,115,3596,3415,2690,1,2118,4197,3412,2,2,1960,260,3479
507,6,2781,115,475,469,2690,2,919,4197,791,1,4180,1960,2677,3479
507,6,2781,115,3596,3415,2690,1,2118,4197,3412,1,4180,1960,260,70
443,6,372,83,3596,3415,2690,2,1166,4197,3412,1,2,1960,2677,3479
507,6,2781,115,3596,3415,2690,1,2118,4197,3412,1,4180,1960,2677,3479
443,6,372,4,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
443,6,372,4,3596,3415,2690,4197,1166,4197,3412,1,4180,1960,2677,3479
443,6,372,4,3596,3415,2690,1,919,4197,3412,1,3,1960,2677,70
443,6,372,4,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,3596,3415,2690,4197,919,4197,3412,2,4180,1960,260,3479
507,6,2781,27,3596,3415,2690,2,919,4197,3412,1,4180,1960,2677,3479
396,6,2781,186,3596,3415,2690,1,1166,4197,3412,1,3,1960,2677,3479
443,6,372,5,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,107
507,6,2781,27,132,132,2690,4197,919,4197,791,1,4180,1960,2677,107
443,6,372,3,3596,3415,2690,4197,1166,4197,3412,1,9,1960,2677,3479
443,6,372,3,3596,3415,2690,2,919,4197,3412,2,9,1960,2677,3479
443,6,372,1,3596,3415,2690,4197,1166,4197,3412,1,5,1960,2677,107
443,6,372,2,3596,3415,2690,1,919,4197,3412,1,3,1960,2677,3479
443,6,372,6,3596,3415,2690,4197,919,4197,3412,1,5,1960,260,70
443,6,372,6,3596,3415,2690,4197,919,4197,3412,1,9,1960,2677,57
443,6,372,2,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,70
443,6,372,6,3596,3415,2690,4197,1166,4197,3412,1,4180,1960,2677,3479
443,6,372,6,475,469,2690,1,919,4197,791,1,3,1960,2677,3479
443,6,372,6,3596,3415,2690,2,1166,4197,3412,1,4180,1960,2677,12
443,6,372,49,3596,3415,2690,4197,1166,4197,3412,1,9,1960,2677,3479
443,6,372,49,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
443,6,372,49,3596,3415,2690,1,919,4197,3412,2,2,1960,2677,3479
443,6,372,49,3596,3415,2690,1,1166,4197,3412,2,4180,1960,2677,107
250,6,15,56,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
250,6,15,34,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,3479
250,6,15,56,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
250,6,15,56,3596,3415,2690,1,2118,4197,3412,1,5,1960,260,107
250,6,15,34,3596,3415,2690,1,919,4197,3412,1,4180,1960,2677,3479
507,6,2781,36,3596,3415,2690,4197,919,4197,3412,1,4180,1960,260,107
237,6,2781,228,3596,3415,1512,2,1166,4197,3412,1,5,1960,2677,107
237,6,2781,228,3596,3415,1512,1,1166,4197,3412,1,5,1960,2677,3479
297,6,2781,87,3596,3415,2690,4197,2118,4197,3412,1,3,1960,2677,3479
297,6,2781,8,3596,3415,2690,2,919,4197,3412,1,4180,1960,2677,3479
297,6,2781,87,475,469,2690,2,919,4197,791,1,3,1960,2677,3479
297,6,2781,87,475,469,2690,2,919,4197,791,1,9,1960,2677,3479
297,6,2781,87,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
279,6,2781,137,3596,3415,2690,1,1166,4197,3412,2,5,1960,260,3479
443,6,372,49,3596,3415,2690,4197,1166,4197,3412,1,2,1960,2677,3479
443,6,372,49,3596,3415,2690,1,919,4197,3412,1,3,1960,260,70
507,6,2781,36,3596,3415,2690,4197,2118,4197,3412,2,5,1960,260,107
237,6,2781,228,3596,3415,1512,2,1166,4197,3412,1,9,1960,2677,57
237,6,2781,228,475,469,2690,1,1166,4197,791,1,5,1960,2677,3479
237,6,2781,228,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
605,6,2781,231,3596,3415,1512,1,919,4197,3412,2,9,1960,260,39
605,6,2781,353,3596,3415,1512,4197,1166,4197,3412,2,5,1960,260,39
605,6,2781,231,3596,3415,1512,1,1166,4197,3412,2,2,1960,260,39
507,6,2781,115,3596,3415,2690,1,2118,4197,3412,1,4180,1960,2677,12
250,6,15,56,475,469,2690,2,919,4197,791,1,9,1960,2677,12
250,6,15,56,3596,3415,2690,1,919,4197,3412,1,9,1960,260,70
347,6,372,13,3596,3415,2690,1,919,4197,3412,1,5,1960,2677,3479
347,6,372,13,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
347,6,372,76,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,3479
347,6,372,93,475,469,2690,1,919,4197,791,2,9,1960,2677,3479
347,6,372,93,3596,3415,2690,1,919,4197,3412,2,9,1960,2677,3479
347,6,372,93,3596,3415,2690,1,919,4197,3412,2,9,1960,2677,70
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,5,1960,2677,3479
347,6,372,93,3596,3415,2690,1,919,4197,3412,1,3,1960,2677,3479
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,3596,3415,2690,4197,919,4197,3412,1,2,1960,2677,57
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,3,1960,2677,107
347,6,372,93,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,3479
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,3596,3415,2690,4197,919,4197,3412,2,4180,1960,2677,70
347,6,372,93,3596,3415,2690,4197,1166,4197,3412,1,4180,1960,260,3479
347,6,372,93,3596,3415,2690,4197,919,4197,3412,1,3,1960,2677,3479
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,5,1960,2677,3479
347,6,372,93,475,469,2690,2,1166,4197,791,2,9,1960,2677,70
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,4180,1960,2677,70
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,5,1960,2677,3479
347,6,372,93,3596,3415,2690,4197,1166,4197,3412,1,4180,1960,2677,3479
347,6,372,93,3596,3415,2690,2,1166,4197,3412,2,5,1960,2677,70
347,6,372,7,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
347,6,372,76,475,469,2690,4197,2118,4197,791,1,9,1960,2677,107
347,6,372,76,475,469,2690,1,919,4197,791,1,2,1960,2677,3479
347,6,372,76,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,2,9,1960,260,3479
347,6,372,93,3596,3415,2690,2,919,4197,3412,2,5,1960,2677,107
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,3596,3415,2690,1,1166,4197,3412,2,3,1960,260,3479
347,6,372,93,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,3479
347,6,372,93,3596,3415,2690,1,919,4197,3412,2,9,1960,2677,3479
347,6,372,93,3596,3415,2690,1,919,4197,3412,2,9,1960,2677,3479
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,475,469,2690,1,1166,4197,791,1,2,1960,2677,70
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,3596,3415,2690,1,919,4197,3412,1,2,1960,2677,3479
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,5,1960,260,57
347,6,372,93,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
347,6,372,7,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
605,6,2781,25,3596,3415,2690,2,919,4197,3412,1,5,1960,2677,70
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,107
347,6,372,93,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
347,6,372,93,3596,3415,2690,2,919,4197,3412,2,9,1960,2677,3479
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,4180,1960,2677,3479
347,6,372,7,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
347,6,372,7,3596,3415,2690,1,1166,4197,3412,1,5,1960,2677,3479
347,6,372,93,3596,3415,2690,2,1166,4197,3412,1,3,1960,2677,3479
507,6,2781,115,3596,3415,2690,4197,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,36,3596,3415,2690,1,919,4197,3412,1,3,1960,2677,70
347,6,372,93,3596,3415,2690,4197,919,4197,3412,1,3,1960,2677,3479
507,6,2781,36,3596,3415,2690,1,919,4197,3412,1,2,1960,2677,107
507,6,2781,36,3596,3415,2690,4197,919,4197,3412,1,3,1960,2677,3479
507,6,2781,36,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,57
347,6,372,93,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,3596,3415,2690,2,2118,4197,3412,2,4180,1960,2677,3479
507,6,2781,36,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
507,6,2781,36,3596,3415,2690,4197,919,4197,3412,1,5,1960,260,3479
507,6,2781,115,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,3479
507,6,2781,36,3596,3415,2690,4197,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,36,3596,3415,2690,1,919,4197,3412,2,4180,1960,2677,3479
443,6,372,5,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
443,6,372,5,3596,179,2690,4197,919,4197,791,1,9,1960,2677,107
443,6,372,5,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,4180,1960,2677,3479
250,6,4,56,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,19,3596,3415,2690,1,2118,4197,3412,1,4180,1960,2677,57
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,475,469,2690,2,919,4197,791,1,9,1960,2677,107
507,6,2781,27,475,469,2690,2,2118,4197,791,1,3,1960,2677,70
507,6,2781,27,132,132,2690,4197,2118,4197,791,1,9,1960,2677,3479
507,6,2781,27,132,132,2690,2,919,4197,791,1,9,1960,2677,12
507,6,2781,212,132,132,2690,1,2118,4197,791,1,9,1960,2677,3479
507,6,2781,212,475,469,2690,1,2118,4197,791,1,9,1960,2677,3479
507,6,2781,212,475,469,2690,4197,919,4197,791,1,9,1960,260,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,2,1960,2677,3479
507,6,2781,27,3596,3415,2690,1,919,4197,3412,1,4180,1960,2677,57
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,27,132,132,2690,4197,919,4197,791,1,5,1960,2677,70
507,6,2781,212,132,132,2690,1,2118,4197,791,1,9,1960,2677,107
507,6,2781,212,132,132,2690,1,2118,4197,791,2,9,1960,260,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,2,9,1960,2677,107
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,5,1960,2677,3479
507,6,2781,27,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,107
507,6,2781,212,132,132,2690,2,2118,4197,791,1,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,3,1960,2677,107
507,6,2781,212,132,132,2690,1,919,4197,791,1,2,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,2,4180,1960,2677,107
507,6,2781,212,132,132,2690,4197,2118,4197,791,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,2,9,1960,2677,107
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,212,132,132,2690,2,919,4197,791,2,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,4180,1960,2677,57
507,6,2781,212,475,469,2690,4197,919,4197,791,1,5,1960,2677,107
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,2,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,5,1960,2677,107
507,6,2781,212,132,132,2690,4197,919,4197,791,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,57
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,212,132,132,2690,2,919,4197,791,2,2,1960,260,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,2,3,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,2,9,1960,2677,3479
507,6,2781,212,475,469,2690,4197,2118,4197,791,1,9,1960,2677,3479
507,6,2781,212,475,469,2690,4197,2118,4197,791,1,9,1960,2677,3479
507,6,2781,212,475,469,2690,1,919,4197,791,1,4180,1960,260,70
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,70
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,132,132,2690,4197,2118,4197,791,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,2,1960,2677,70
507,6,2781,212,475,469,2690,2,1166,4197,791,2,5,1960,2677,107
507,6,2781,212,3596,3415,2690,1,1166,4197,3412,1,3,1960,2677,107
507,6,2781,212,3596,3415,2690,1,919,4197,3412,2,9,1960,260,57
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,2,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,3596,3415,2690,1,919,4197,3412,1,4180,1960,2677,3479
507,6,2781,27,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
507,6,2781,27,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,3479
507,6,2781,27,3596,3415,2690,2,919,4197,3412,2,9,1960,2677,3479
507,6,2781,27,475,469,2690,1,2118,4197,791,1,2,1960,2677,57
507,6,2781,27,132,132,2690,1,2118,4197,791,1,5,1960,2677,3479
507,6,2781,27,132,132,2690,1,919,4197,791,1,9,1960,2677,107
507,6,2781,212,3596,3415,2690,4197,1166,4197,3412,1,9,1960,260,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,2,1960,2677,57
237,6,2781,141,475,469,2690,4197,2118,4197,791,1,9,1960,2677,3479
237,6,2781,141,3596,3415,2690,1,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,2,5,1960,260,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,9,1960,260,3479
507,6,2781,27,3596,3415,2690,1,919,4197,3412,1,4180,1960,2677,3479
507,6,2781,27,3596,3415,2690,1,919,4197,3412,1,4180,1960,260,3479
507,6,2781,27,3596,3415,2690,2,2118,4197,3412,2,4180,1960,2677,3479
507,6,2781,27,3596,3415,2690,1,1166,4197,3412,2,4180,1960,2677,70
507,6,2781,212,132,132,2690,1,919,4197,791,1,9,1960,260,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,2,1960,2677,70
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,212,132,132,2690,4197,919,4197,791,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,2,5,1960,260,3479
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,5,1960,260,3479
507,6,2781,212,132,132,2690,4197,2118,4197,791,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,2,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,57
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,3,1960,2677,70
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,212,475,469,2690,2,2118,4197,791,1,4180,1960,2677,70
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,2,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,2,9,1960,260,107
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,107
507,6,2781,212,132,132,2690,2,2118,4197,791,1,9,1960,2677,107
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,5,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,2,3,1960,2677,107
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,4180,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,5,1960,260,3479
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,212,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,107
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,3,1960,2677,70
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,57
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,3,1960,2677,107
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,2,3,1960,2677,107
507,6,2781,212,132,132,2690,1,1166,4197,791,1,9,1960,2677,12
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,2,9,1960,260,3479
507,6,2781,212,3596,3415,2690,1,919,4197,3412,1,2,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,3,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,70
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,2,5,1960,2677,3479
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,3479
507,6,2781,212,3596,3415,2690,2,919,4197,3412,1,5,1960,2677,3479
507,6,2781,19,3596,3415,2690,4197,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,19,3596,3415,2690,4197,919,4197,3412,2,2,1960,2677,3479
507,6,2781,19,132,132,2690,1,2118,4197,791,2,9,1960,2677,3479
507,6,2781,19,3596,3415,2690,1,2118,4197,3412,2,5,1960,2677,3479
507,6,2781,19,132,132,2690,2,919,4197,791,2,4180,1960,2677,3479
507,6,2781,96,3596,3415,2690,1,2118,4197,3412,1,3,1960,2677,107
507,6,2781,96,3596,3415,2690,4197,2118,4197,3412,2,9,1960,2677,70
507,6,2781,96,3596,3415,2690,4197,2118,4197,3412,2,9,1960,2677,57
507,6,2781,212,3596,3415,2690,4197,919,4197,3412,1,9,1960,2677,70
507,6,2781,212,132,132,2690,1,919,4197,791,2,3,1960,2677,3479
507,6,2781,36,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,12
507,6,2781,96,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,3479
507,6,2781,96,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,3479
507,6,2781,96,3596,3415,2690,1,919,4197,3412,2,5,1960,2677,3479
507,6,2781,96,3596,3415,2690,4197,919,4197,3412,1,3,1960,2677,3479
507,6,2781,96,3596,3415,2690,1,919,4197,3412,2,2,1960,2677,12
507,6,2781,19,3596,3415,2690,4197,2118,4197,3412,1,9,1960,2677,3479
507,6,2781,96,3596,3415,2690,2,2118,4197,3412,1,9,1960,260,3479
507,6,2781,19,3596,3415,2690,2,2118,4197,3412,1,3,1960,260,3479
507,6,2781,96,3596,3415,2690,4197,919,4197,3412,1,2,1960,2677,3479
507,6,2781,96,3596,3415,2690,1,2118,4197,3412,1,5,1960,260,3479
507,6,2781,19,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,70
507,6,2781,96,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,70
507,6,2781,19,3596,3415,2690,1,2118,4197,3412,1,3,1960,2677,3479
